barcount,date,open,high,low,close,volume,higherclose,reversal,trendsequence,adl,adx,adxr,apz_lower,apz_upper,aroonoscillator,atr,bollinger_lower,bollinger_middle,bollinger_upper,bop,camarilla_r1,camarilla_r2,camarilla_r3,camarilla_r4,camarilla_s1,camarilla_s2,camarilla_s3,camarilla_s4,cci,chaikinmoneyflow,chaikinoscillator,chaikinvolatility,choppinessindex,cmo,currentday_open,currentday_low,currentday_high,disparityindex,dm_diplus,dm_diminus,dmi,dmindex,donchian_lower,donchian_mean,donchian_upper,doublestochastics_k,easeofmovement,fibonacci_pp,fibonacci_r1,fibonacci_r2,fibonacci_r3,fibonacci_s1,fibonacci_s2,fibonacci_s3,fisherstransform,fosc,kama,keltner_lower,keltner_mean,keltner_upper,linreg,linregintercept,linregslope,macd,macd_avg,macd_diff,mama_default,mama_kama,mfi,momentum,moneyflowoscillator,orderflowcumulativedelta_deltaopen,orderflowcumulativedelta_deltaclose,orderflowcumulativedelta_deltahigh,orderflowcumulativedelta_deltalow,orderflowvwap_vwap,orderflowvwap_s1_lower,orderflowvwap_s1_higher,orderflowvwap_s2_lower,orderflowvwap_s2_higher,orderflowvwap_s3_lower,orderflowvwap_s3_higher,parabolic_sar,pfe,ppo,priceoscillator,psychologicalline,rsquared,relativevigorindex,rind,roc,rsi,rsi_avg,rss,rvi,stddev,stochrsi,stochastics_d,stochastics_k,stochasticsfast_d,stochasticsfast_k,trix,trix_signal,tsf,tsi,ultimateoscillator,vortex_viplus,vortex_viminus,volma,volume_oscillator,vroc,williamsr,wisemanawesomeoscillator,woodiescci,woodiescci_turbo,woodiespivot_pp,woodiespivot_r1,woodiespivot_r2,woodiespivot_s1,woodiespivot_s2
428,8/4/2023 07:01,15893,15893,15885.5,15885.5,1301,FALSE,FALSE,4,39385,17,16,0.04,0.229,-100,8.9,-0.009,0.481,0.481,-0.571,-0.078,0.039,0.155,0.506,-0.312,-0.429,-0.546,-0.896,-159,-14,-2989,0,22,-50,-0.236,-0.283,0.519,-0.231,27,57,-1,33,0,0.212,0.425,0,-47,-0.208,0.279,0.58,1.067,-0.695,-0.996,-1.482,-2.8,-0.08,0.193,0.151,0.222,0.293,0.078,0.394,-3.9,-8.2,-2,-6.2,0.166,0.275,30,-60,-0.17,0,-64,31,-89,0.216,0.058,0.373,-0.1,0.531,-0.258,0.689,0.346,-0.23,-0.012,-2,20,1,-0.43,9,-0.38,34,36,11,30,19.4,0,12,0,0,0,-0.0024,-0.0011,0.005,-50,13,0.4,1.4,1328,177,-20,-100,-25.4,-159,-111,-0.225,0.401,1.05,-0.873,-1.5
429,8/4/2023 07:19,15885.5,15885.5,15878,15878,3251,FALSE,FALSE,5,36134,19,17,0.043,0.232,-64,8.8,-0.022,0.535,0.535,-0.571,-0.031,0.086,0.203,0.553,-0.265,-0.382,-0.499,-0.849,-148,-26,-3865,0,18,-50,-0.189,-0.236,0.567,-0.257,25,60,-1,31,0,0.236,0.472,0,-42,-0.161,0.327,0.628,1.115,-0.648,-0.949,-1.436,-3.2,-0.07,0.166,0.159,0.23,0.301,0.066,0.447,-4.6,-10.5,-3.7,-6.8,0.203,0.32,27,-60,-0.3,0,-33,145,-111,0.253,0.092,0.415,-0.07,0.577,-0.232,0.739,0.345,-0.28,-0.023,-3.7,10,1,-0.53,7,-0.38,32,34,8,26,22.1,0,4,0,0,0,-0.0041,-0.0026,-0.022,-56,13,0.4,1.4,1585,292,235,-100,-30.7,-148,-111,-0.178,0.449,1.097,-0.827,-1.453
430,8/4/2023 07:28,15878,15878,15870.5,15870.5,2017,FALSE,FALSE,6,34117,20,18,0.044,0.233,-71,8.7,-0.038,0.592,0.592,-0.571,0.016,0.133,0.25,0.601,-0.218,-0.335,-0.452,-0.803,-138,-35,-4514,0,14,-50,-0.142,-0.189,0.614,-0.281,24,62,-1,29,0,0.26,0.52,0,-39,-0.113,0.374,0.675,1.163,-0.601,-0.902,-1.389,-3.6,-0.05,0.118,0.158,0.228,0.299,0.046,0.508,-5.6,-12.7,-5.5,-7.3,0.239,0.364,25,-60,-0.39,0,-6,78,-74,0.294,0.128,0.46,-0.037,0.626,-0.203,0.792,0.337,-0.32,-0.034,-5.5,0,1,-0.7,6,-0.38,30,32,6,23,25,0,1,0,0,0,-0.0059,-0.0042,-0.061,-61,13,0.4,1.4,1642,97,320,-100,-36,-138,-111,-0.131,0.496,1.145,-0.78,-1.407
431,8/4/2023 07:30,15870.5,15870.5,15863,15863,463,FALSE,FALSE,7,33654,22,18,0.045,0.235,-79,8.6,-0.057,0.652,0.652,-0.571,0.063,0.18,0.297,0.649,-0.171,-0.288,-0.405,-0.756,-130,-40,-4516,0,11,-50,-0.095,-0.142,0.662,-0.303,22,65,-1,27,0,0.284,0.567,0,-54,-0.066,0.421,0.723,1.21,-0.554,-0.855,-1.343,-4.1,-0.02,0.092,0.158,0.229,0.299,0.018,0.577,-6.8,-15,-7.4,-7.6,0.273,0.408,25,-60,-0.45,0,-191,0,-199,0.34,0.173,0.507,0.006,0.674,-0.161,0.841,0.324,-0.36,-0.046,-7.4,0,1,-0.87,5,-0.38,28,30,4,21,28.1,0,0,0,0,0,-0.0077,-0.006,-0.111,-66,13,0.4,1.4,1485,223,278,-100,-40.8,-130,-111,-0.084,0.544,1.193,-0.733,-1.36
432,8/4/2023 07:45,15863,15863,15855.5,15855.5,3496,FALSE,FALSE,8,30158,25,19,0.046,0.235,-86,8.5,-0.074,0.689,0.689,-0.714,0.111,0.228,0.345,0.696,-0.123,-0.24,-0.358,-0.709,-125,-51,-5219,0,5,-73,-0.047,-0.095,0.71,-0.324,21,67,-1,26,0,0.307,0.615,0,-47,-0.019,0.469,0.77,1.258,-0.507,-0.808,-1.296,-4.5,0,0.077,0.158,0.229,0.3,0.001,0.614,-7.5,-17.1,-9.3,-7.8,0.27,0.439,9,-82,-0.53,0,5,180,-6,0.373,0.194,0.552,0.015,0.731,-0.163,0.91,0.306,-0.43,-0.059,-9.3,0,1,-0.97,4,-0.52,26,28,3,19,30.2,0,0,0,0,0,-0.0097,-0.0078,-0.14,-70,10,0.3,1.6,1753,333,128,-100,-45.7,-125,-111,-0.036,0.591,1.241,-0.686,-1.313
433,8/4/2023 07:46,15855.5,15855.5,15848,15848,561,FALSE,FALSE,9,29597,27,20,0.047,0.236,-93,8.5,-0.082,0.704,0.704,-0.857,0.158,0.275,0.392,0.744,-0.076,-0.193,-0.31,-0.662,-123,-54,-5210,0,3,-87,0,-0.047,0.757,-0.343,20,69,-1,25,0,0.331,0.663,0,-57,0.028,0.517,0.818,1.306,-0.46,-0.761,-1.249,-4.9,0.01,0.069,0.158,0.229,0.3,-0.005,0.627,-7.7,-19.2,-11.3,-7.9,0.226,0.446,4,-98,-0.63,0,-69,0,-92,0.418,0.237,0.599,0.056,0.78,-0.125,0.962,0.293,-0.51,-0.071,-11.3,0,1,-1,3,-0.61,25,26,2,17,31.1,0,0,0,0,0,-0.0116,-0.0097,-0.151,-74,7,0.1,1.7,1594,319,42,-100,-50.5,-123,-111,0.011,0.639,1.289,-0.639,-1.267
434,8/4/2023 07:51,15848,15848,15840.5,15840.5,1315,FALSE,FALSE,10,28282,29,21,0.047,0.236,-100,8.4,-0.074,0.689,0.689,-1,0.206,0.323,0.44,0.791,-0.029,-0.146,-0.263,-0.615,-124,-64,-5152,0,3,-100,0.047,0,0.805,-0.36,18,71,-1,23,0,0.331,0.663,0,-54,0.076,0.564,0.866,1.354,-0.413,-0.714,-1.203,-6.2,0,0.065,0.158,0.229,0.3,0,0.616,-7.5,-21.3,-13.3,-8,0.231,0.472,0,-112,-0.62,0,6,94,-31,0.459,0.272,0.647,0.084,0.835,-0.104,1.022,0.281,-0.6,-0.084,-13.3,0,1,-1,3,-0.71,23,25,2,15,30.2,0,0,0,0,0,-0.0136,-0.0117,-0.142,-77,5,0,1.9,1557,370,108,-100,-55.4,-124,-111,0.058,0.687,1.337,-0.592,-1.22
435,8/4/2023 07:54,15848,15855.5,15848,15855.5,956,TRUE,TRUE,1,29238,30,22,-0.072,0.117,-93,8.9,-0.179,0.53,0.53,-0.857,0.111,0.228,0.345,0.696,-0.123,-0.24,-0.358,-0.709,-87,-57,-4355,0,5,-73,-0.047,-0.095,0.71,-0.245,22,62,-1,35,-0.095,0.213,0.52,50,-34,-0.019,0.469,0.77,1.258,-0.507,-0.808,-1.296,-4.3,0.11,-0.024,0.027,0.098,0.169,-0.105,0.457,-6.9,-21.4,-14.9,-6.5,0.109,0.354,4,-82,-0.56,0,61,80,-46,0.36,0.17,0.551,-0.02,0.741,-0.211,0.932,0.13,-0.62,-0.094,-14.9,10,0.82,-0.97,2,-0.52,32,29,2,23,28.1,0.36,1,5,5,15,-0.0153,-0.0135,-0.235,-57,23,0.1,1.7,1477,167,88,-85,-57.7,-87,-33,-0.036,0.591,1.241,-0.686,-1.313
436,8/4/2023 07:56,15855.5,15863,15855.5,15863,848,TRUE,FALSE,2,30086,31,23,-0.124,0.065,-86,8.8,-0.221,0.417,0.417,-0.714,0.063,0.18,0.297,0.649,-0.171,-0.288,-0.405,-0.756,-58,-52,-3364,0,8,-60,-0.095,-0.142,0.662,-0.182,27,58,-1,38,-0.142,0.142,0.426,75,-16,-0.066,0.421,0.723,1.21,-0.554,-0.855,-1.343,-2.9,0.14,-0.063,-0.047,0.024,0.095,-0.143,0.339,-5.9,-20.7,-16.1,-4.6,0.019,0.235,8,-68,-0.51,0,233,237,0,0.31,0.118,0.502,-0.074,0.694,-0.266,0.886,0.038,-0.62,-0.101,-16.1,20,0.38,-0.87,2,-0.42,37,33,3,28,25.3,0.59,3,13,13,25,-0.0164,-0.015,-0.254,-40,32,0.3,1.6,1393,11,77,-75,-57.4,-58,58,-0.084,0.544,1.193,-0.733,-1.36
437,8/4/2023 08:23,15863,15870.5,15863,15870.5,6217,TRUE,FALSE,3,36303,31,23,-0.161,0.028,-79,8.7,-0.251,0.305,0.305,-0.571,0.016,0.133,0.25,0.601,-0.218,-0.335,-0.452,-0.803,-28,-25,-674,0,12,-47,-0.142,-0.189,0.614,-0.124,31,55,-1,40,-0.189,0.071,0.331,88,-11,-0.113,0.374,0.675,1.163,-0.601,-0.902,-1.389,-1.7,0.16,-0.104,-0.112,-0.041,0.03,-0.163,0.217,-4.6,-19.3,-16.7,-2.6,-0.028,0.178,31,-52,-0.24,0,5,86,-175,0.245,0.048,0.443,-0.15,0.64,-0.347,0.838,-0.189,-0.59,-0.105,-16.7,30,0,-0.7,1,-0.33,40,36,7,33,22.1,0.86,6,26,26,36,-0.0171,-0.016,-0.251,-25,42,0.4,1.5,2036,236,81,-64,-54.6,-28,125,-0.131,0.496,1.145,-0.78,-1.407
